Year,Month,Utility_Number,Name,State,Status,AMR_Res,AMR_Com,AMR_Ind,AMR_Tran,AMR_Total,AMI_Res,AMI_Com,AMI_Ind,AMI_Tran,AMI_Total,Non_Res,Non_Com,Non_Ind,Non_Trans,Non_Total,Total_Res,Total_Com,Total_Ind,Total_Trans,Total_Total,ES_Res,ES_Com,ES_Ind,ES_Tran,ES_Total
2016,10,4624,Cumberland Elec Member Corp,TN,Final,"79,401","9,580",27,0,"89,008","3,363",585,0,0,"3,948",0,438,0,0,438,"82,764","10,603",27,0,"93,394","2,786","2,641",0,0,"5,427"
2016,10,5399,Duck River Elec Member Corp,TN,Final,0,0,0,0,0,"4,650","1,151",4,0,"5,805","57,821","10,095",6,0,"67,922","62,471","11,246",10,0,"73,727",47,365,227,0,640
2016,10,7174,Gibson Electric Members Corp,TN,Final,0,0,0,0,0,"28,693","5,787",7,0,"34,487",0,0,0,0,0,"28,693","5,787",7,0,"34,487","32,125","18,055","14,929",0,"65,109"
2016,10,7625,City of Greeneville - (TN),TN,Final,0,0,0,0,0,"30,912","7,244",20,0,"38,176",0,0,0,0,0,"30,912","7,244",20,0,"38,176","29,273","24,385","33,221",0,"86,879"
2016,10,9777,Johnson City - (TN),TN,Final,0,0,0,0,0,"79,238","13,186",19,0,"92,443",0,0,0,0,0,"79,238","13,186",19,0,"92,443","80,304","76,829","11,672",0,"168,805"
2016,10,10171,Kentucky Utilities Co,TN,Final,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0
2016,10,10331,Kingsport Power Co,TN,Final,"41,277","5,862",163,0,"47,302",65,2,0,0,67,0,0,0,0,0,"41,342","5,864",163,0,"47,369",64,1,0,0,64
2016,10,10421,Knoxville Utilities Board,TN,Final,"5,994",841,0,0,"6,835","8,501","1,215",8,0,"9,724","162,176","21,661",23,0,"183,860","176,671","23,717",31,0,"200,419","6,716","16,577","30,644",0,"53,937"
2016,10,10906,City of Lenoir - (TN),TN,Final,"51,255","7,816",2,0,"59,073",0,0,0,0,0,573,"4,188",5,0,"4,766","51,828","12,004",7,0,"63,839",0,0,0,0,0
2016,10,12293,City of Memphis - (TN),TN,Final,0,0,237,0,237,"72,786",0,0,0,"72,786","295,331","43,288",60,0,"338,679","368,117","43,288",297,0,"411,702","69,686",0,0,0,"69,686"
2016,10,12470,Middle Tennessee E M C,TN,Final,0,0,0,0,0,"181,856","26,184",18,0,"208,058","4,701","1,473",11,0,"6,185","186,557","27,657",29,0,"214,243","234,897","159,567","43,864",0,"438,328"
2016,10,13216,Nashville Electric Service,TN,Final,"34,968",271,47,0,"35,286","166,790","40,370",15,0,"207,175","142,582","1,719",0,0,"144,301","344,340","42,360",62,0,"386,762","165,444","339,635","2,026",0,"507,105"
2016,10,17564,South Kentucky Rural E C C,TN,Final,0,0,0,0,0,161,27,3,0,191,0,0,0,0,0,161,27,3,0,191,83,43,70,0,196
2016,10,17694,Southwest Tennessee E M C,TN,Final,"30,019","6,044",0,0,"36,063","12,108","1,536",1,0,"13,645",0,222,0,0,222,"42,127","7,802",1,0,"49,930","10,944","2,364","2,602",0,"15,910"
2016,10,18642,Tennessee Valley Authority,TN,Final,0,0,0,0,0,0,32,40,0,72,0,0,0,0,0,0,32,40,0,72,0,"113,875","510,870",0,"624,745"
2016,10,19574,Upper Cumberland E M C,TN,Final,0,0,0,0,0,"41,651","7,603",9,0,"49,263",0,0,0,0,0,"41,651","7,603",9,0,"49,263","39,198","20,897","9,209",0,"69,304"
2016,10,19898,Volunteer Electric Coop,TN,Final,0,0,0,0,0,"95,800","18,584",15,0,"114,399",0,578,0,0,578,"95,800","19,162",15,0,"114,977","88,265","47,544","21,637",0,"157,446"
2016,10,3278,AEP Texas Central Company,TX,Final,34,43,51,0,128,"713,784","113,561","5,053",0,"832,398",105,"4,213",141,0,"4,459","713,923","117,817","5,245",0,"836,985","919,346","622,803","25,715",0,"1,567,864"
2016,10,5701,El Paso Electric Co,TX,Final,"284,149","20,890",0,0,"305,039",0,0,0,0,0,"4,241","13,544",101,0,"17,886","288,390","34,434",101,0,"322,925",0,0,0,0,0
2016,10,8901,CenterPoint Energy,TX,Final,.,"6,936","2,021",11,"8,968","2,121,567","282,022",.,363,"2,403,952",108,.,.,.,108,"2,121,675","288,958","2,021",374,"2,413,028","2,500,012","1,638,599",.,"3,148","4,141,759"
2016,10,13830,Nueces Electric Cooperative,TX,Final,768,274,0,0,"1,042",0,0,0,0,0,42,282,12,0,336,810,556,12,0,"1,378",0,0,0,0,0
2016,10,16604,City of San Antonio - (TX),TX,Final,"285,489",.,.,.,"285,489","385,155","22,530",.,.,"407,685","83,094","31,250",55,.,"114,399","753,738","53,780",55,.,"807,573","443,725","271,394",.,.,"715,118"
2016,10,17008,Sharyland Utilities LP,TX,Final,"2,701",325,117,0,"3,143","24,339","15,277","11,376",0,"50,992",.,.,.,.,0,"27,040","15,602","11,493",0,"54,135","28,087","7,748","84,919",0,"120,754"
2016,10,17698,Southwestern Electric Power Co,TX,Final,"149,030","23,445","3,299",0,"175,774",0,0,0,0,0,742,"7,381",990,0,"9,113","149,772","30,826","4,289",0,"184,887",0,0,0,0,0
2016,10,17718,Southwestern Public Service Co,TX,Final,227,68,39,0,334,1,29,10,0,40,"208,844","46,370","8,520",0,"263,734","209,072","46,467","8,569",0,"264,108",1,732,450,0,"1,183"
2016,10,20404,AEP Texas North Company,TX,Final,7,21,25,0,53,"149,518","35,787","3,908",0,"189,213",31,674,141,0,846,"149,556","36,482","4,074",0,"190,112","137,718","123,373","12,837",0,"273,928"
2016,10,40051,Texas-New Mexico Power Co,TX,Final,0,0,0,0,0,"204,212","35,775",0,0,"239,987",290,"5,978",76,0,"6,344","204,502","41,753",76,0,"246,331","259,081","226,832",0,0,"485,913"
