Year,Month,Utility_Number,Name,State,Status,AMR_Res,AMR_Com,AMR_Ind,AMR_Tran,AMR_Total,AMI_Res,AMI_Com,AMI_Ind,AMI_Tran,AMI_Total,Non_Res,Non_Com,Non_Ind,Non_Trans,Non_Total,Total_Res,Total_Com,Total_Ind,Total_Trans,Total_Total,ES_Res,ES_Com,ES_Ind,ES_Tran,ES_Total
2016,1,213,Alaska Electric Light&Power Co,AK,Final,"13,300","1,520",157,0,"14,977",0,0,0,0,0,"1,579",591,63,0,"2,233","14,879","2,111",220,0,"17,210",0,0,0,0,0
2016,1,219,Alaska Power and Telephone Co,AK,Final,"5,380","2,259",.,.,"7,639",0,0,.,.,0,0,0,.,.,0,"5,380","2,259",.,.,"7,639",0,0,.,.,0
2016,1,221,"Alaska Village Elec Coop, Inc",AK,Final,"7,811","3,076",.,.,"10,887",.,.,.,.,0,.,.,.,.,0,"7,811","3,076",.,.,"10,887",.,.,.,.,0
2016,1,599,Anchorage Municipal Light and Power,AK,Final,"24,112","6,344",0,0,"30,456",.,.,.,.,0,0,31,0,0,31,"24,112","6,375",0,0,"30,487",.,.,.,.,0
2016,1,3522,Chugach Electric Assn Inc,AK,Final,"60,899","8,446",.,.,"69,345","11,567",701,1,.,"12,269",268,504,6,.,778,"72,734","9,651",7,.,"82,392","10,592","1,465",617,.,"12,674"
2016,1,7353,Golden Valley Elec Assn Inc,AK,Final,"38,596","6,481",499,.,"45,576",.,.,.,.,0,.,.,.,.,0,"38,596","6,481",499,.,"45,576",.,.,.,.,0
2016,1,10210,Ketchikan Public Utilities,AK,Final,0,0,0,0,0,"4,354",386,0,0,"4,740","2,068",892,15,0,"2,975","6,422","1,278",15,0,"7,715","6,181",546,0,0,"6,727"
2016,1,10433,Kodiak Electric Assn Inc,AK,Final,"4,664",990,107,0,"5,761",.,.,.,.,0,114,60,0,0,174,"4,778","1,050",107,0,"5,935",.,.,.,.,0
2016,1,10451,Kotzebue Electric Assn Inc,AK,Final,73,6,0,0,79,985,73,0,0,"1,058",79,52,0,0,131,"1,137",131,0,0,"1,268",836,0,0,0,836
2016,1,11824,Matanuska Electric Assn Inc,AK,Final,"32,062","2,949",0,0,"35,011","21,309","1,197",0,0,"22,506","4,422",0,0,0,"4,422","57,793","4,146",0,0,"61,939","18,230","9,593",0,0,"27,823"
2016,1,19558,Homer Electric Assn Inc,AK,Final,"26,274","3,269",15,.,"29,558",71,11,0,.,82,88,793,9,.,890,"26,433","4,073",24,.,"30,530",2,0,0,.,2
2016,1,195,Alabama Power Co,AL,Final,.,.,.,.,0,"1,251,299","174,783","6,063",.,"1,432,145",.,.,.,.,0,"1,251,299","174,783","6,063",.,"1,432,145","1,642,051","1,109,741","2,694,617",.,"5,446,409"
2016,1,4958,Decatur Utilities,AL,Final,0,0,0,0,0,225,18,0,0,243,0,0,0,0,0,225,18,0,0,243,364,17,0,0,381
2016,1,9094,City of Huntsville - (AL),AL,Final,0,0,0,0,0,0,10,6,0,16,0,0,0,0,0,0,10,6,0,16,0,"1,631","21,901",0,"23,533"
2016,1,9739,Joe Wheeler Elec Member Corp,AL,Final,.,.,.,.,0,"34,769","8,017",19,.,"42,805",.,.,.,.,0,"34,769","8,017",19,.,"42,805","47,997","21,050","66,322",.,"135,369"
2016,1,17252,Singing River Elec Pwr Assn,AL,Final,306,18,.,.,324,.,.,.,.,0,.,.,.,.,0,306,18,.,.,324,.,.,.,.,0
2016,1,18642,Tennessee Valley Authority,AL,Final,.,.,.,.,0,.,2,29,.,31,.,.,.,.,0,.,2,29,.,31,.,"36,950","403,081",.,"440,031"
2016,1,814,Entergy Arkansas Inc,AR,Final,"17,550",707,203,.,"18,460",.,.,684,.,684,"587,556","93,001","28,940",1,"709,498","605,106","93,708","29,827",1,"728,642",.,.,42,.,42
2016,1,817,Arkansas Valley Elec Coop Corp,AR,Final,.,.,.,.,0,"50,148","3,663",24,.,"53,835",.,.,.,.,0,"50,148","3,663",24,.,"53,835","65,834","12,171","17,467",.,"95,472"
2016,1,3093,Carroll Electric Coop Corp - (AR),AR,Final,.,.,.,.,0,"76,723","5,358",36,.,"82,117",0,0,3,.,3,"76,723","5,358",39,.,"82,120","121,324","27,892","9,591",.,"158,807"
2016,1,6342,First Electric Coop Corp,AR,Final,0,0,0,.,0,"84,445","5,645",909,.,"90,999",0,0,.,.,0,"84,445","5,645",909,.,"90,999","120,211","15,234","5,062",.,"140,507"
2016,1,12681,Mississippi County Electric Co,AR,Final,"3,187",612,701,.,"4,500",.,.,.,.,0,173,73,50,.,296,"3,360",685,751,.,"4,796",.,.,.,.,0
2016,1,13718,City of North Little Rock - (AR),AR,Final,45,6,0,0,51,"31,906","3,883",125,1,"35,915","1,356","1,022",17,0,"2,395","33,307","4,911",142,1,"38,361","24,267","13,707","8,044",23,"46,041"
2016,1,14063,Oklahoma Gas & Electric Co,AR,Final,0,0,0,0,0,"57,150","10,825",435,0,"68,410",0,0,0,0,0,"57,150","10,825",435,0,"68,410","72,917","78,780","118,076",0,"269,772"
2016,1,17698,Southwestern Electric Power Co,AR,Final,"98,071","6,851",161,0,"105,083",0,0,0,0,0,718,"10,914",439,0,"12,071","98,789","17,765",600,0,"117,154",0,0,0,0,0
2016,1,803,Arizona Public Service Co,AZ,Final,288,36,.,.,324,"1,059,065","121,253","3,578",.,"1,183,896",.,.,.,.,0,"1,059,353","121,289","3,578",.,"1,184,220","969,196","722,384","45,729",.,"1,737,309"
2016,1,12919,Morenci Water and Electric,AZ,Final,"2,264",326,.,.,"2,590",.,.,.,.,0,5,98,4,.,107,"2,269",424,4,.,"2,697",.,.,.,.,0
2016,1,13314,Navajo Tribal Utility Authority,AZ,Final,.,.,.,.,0,"25,275","3,153",1,.,"28,429",.,.,.,.,0,"25,275","3,153",1,.,"28,429","18,539","20,333",4,.,"38,876"
2016,1,16572,Salt River Project,AZ,Final,3,0,0,.,3,"792,439","92,268","3,071",6,"887,784","151,910",331,1,.,"152,242","944,352","92,599","3,072",6,"1,040,029","686,401","524,743","38,874",437,"1,250,455"
2016,1,19189,Trico Electric Cooperative Inc,AZ,Final,590,19,0,.,609,"41,368","2,345",33,.,"43,746",3,0,0,.,3,"41,961","2,364",33,.,"44,358","35,228","15,258","3,278",.,"53,765"
2016,1,19728,"UNS Electric, Inc",AZ,Final,"76,052","6,155",0,0,"82,207",27,97,27,0,151,"7,625","4,153",8,0,"11,786","83,704","10,405",35,0,"94,144",49,"1,736","6,672",0,"8,457"
2016,1,21538,"Mohave Electric Cooperative, I",AZ,Final,.,.,.,.,0,"33,647","3,949",0,0,"37,596","2,493",161,20,0,"2,674","36,140","4,110",20,0,"40,270","24,828","13,649",0,0,"38,477"
2016,1,24211,Tucson Electric Power Co,AZ,Final,"382,929","38,816",350,0,"422,095",0,1,52,0,53,"3,669",809,440,0,"4,918","386,598","39,626",842,0,"427,066",0,3,"20,448",0,"20,451"
2016,1,25866,Ak-Chin Electric Utility Authority,AZ,Final,291,119,29,0,439,.,.,.,.,0,.,.,.,.,0,291,119,29,0,439,.,.,.,.,0
2016,1,4390,City of Corona - (CA),CA,Final,836,480,8,0,"1,324",0,0,0,0,0,0,0,0,0,0,836,480,8,0,"1,324",0,0,0,0,0
2016,1,9216,Imperial Irrigation District,CA,Final,"45,548","5,386",534,0,"51,468","32,173","3,613",64,0,"35,850","51,549","11,823",880,0,"64,252","129,270","20,822","1,478",0,"151,570","19,816","45,048",36,0,"64,900"
2016,1,11208,Los Angeles Department of Water & Power,CA,Final,"332,492","62,829","6,113",41,"401,475","2,752","4,904",756,35,"8,447","1,064,015","77,777","8,076",61,"1,149,929","1,399,259","145,510","14,945",137,"1,559,851","14,116","370,917","33,152","7,236","425,421"
2016,1,12745,Modesto Irrigation District,CA,Final,.,.,.,.,0,"96,704","21,169",154,0,"118,027",.,.,.,.,0,"96,704","21,169",154,0,"118,027","73,937","60,705","55,338",0,"189,980"
2016,1,14328,Pacific Gas & Electric Co,CA,Final,0,0,0,0,0,"4,577,937","559,350","1,294",0,"5,138,581","96,443","61,928",0,0,"158,371","4,674,380","621,278","1,294",0,"5,296,952","2,453,866","2,349,603","1,149,209",0,"5,952,678"
2016,1,14354,PacifiCorp,CA,Final,"4,991","1,092",93,0,"6,176",.,.,.,.,0,"30,892","6,631","2,052",0,"39,575","35,883","7,723","2,145",0,"45,751",.,.,.,.,0
2016,1,14534,City of Pasadena - (CA),CA,Final,"54,749","8,408",.,.,"63,157",.,.,.,.,0,250,67,.,.,317,"54,999","8,475",.,.,"63,474",.,.,.,.,0
2016,1,16534,Sacramento Municipal Util Dist,CA,Final,.,.,.,.,0,"547,603","67,055","2,572",38,"617,268",428,11,20,.,459,"548,031","67,066","2,592",38,"617,727","441,180","277,288","120,298","2,264","841,030"
2016,1,16609,San Diego Gas & Electric Co,CA,Final,8,124,39,0,171,"1,263,964","147,243",617,278,"1,412,102","2,250",16,0,0,"2,266","1,266,222","147,383",656,278,"1,414,539","669,575","627,599","286,923","4,983","1,589,080"
2016,1,17609,Southern California Edison Co,CA,Final,"4,947","13,732","3,778",32,"22,489","4,401,990","593,230","45,710",11,"5,040,941","19,886","3,587","1,147",0,"24,620","4,426,823","610,549","50,635",43,"5,088,050","2,299,410","1,968,484","117,330",60,"4,385,284"
2016,1,17612,Bear Valley Electric Service,CA,Final,"22,398","1,386",0,0,"23,784",0,0,0,0,0,67,169,7,0,243,"22,465","1,555",7,0,"24,027",0,0,0,0,0
2016,1,18260,Surprise Valley Electrification,CA,Final,0,0,0,0,0,0,0,0,0,0,"2,828",884,864,0,"4,576","2,828",884,864,0,"4,576",0,0,0,0,0
2016,1,19281,Turlock Irrigation District,CA,Final,"67,757","7,903","2,912",.,"78,572",.,.,.,.,0,"2,314",126,97,.,"2,537","70,071","8,029","3,009",.,"81,109",.,.,.,.,0
2016,1,19840,"Valley Electric Assn, Inc",CA,Final,12,2,30,0,44,0,0,0,0,0,0,0,0,0,0,12,2,30,0,44,0,0,0,0,0
2016,1,3989,City of Colorado Springs - (CO),CO,Final,"182,071","26,393",0,0,"208,464","7,367","2,664","1,451",0,"11,482",26,0,0,0,26,"189,464","29,057","1,451",0,"219,972","4,156","46,965","180,653",0,"231,774"
2016,1,6604,City of Fort Collins - (CO),CO,Final,0,16,0,0,16,"61,820","7,947",13,0,"69,780",415,611,0,0,"1,026","62,235","8,574",13,0,"70,822","50,152","42,834","38,399",0,"131,384"
2016,1,9336,Intermountain Rural Elec Assn,CO,Final,"136,396","12,276",61,0,"148,733",.,.,.,.,0,.,.,.,.,0,"136,396","12,276",61,0,"148,733",.,.,.,.,0
2016,1,10066,K C Electric Association,CO,Final,.,.,.,.,0,"3,261","2,486",732,0,"6,479",.,.,.,.,0,"3,261","2,486",732,0,"6,479","3,765","7,487",49,0,"11,301"
2016,1,12866,Moon Lake Electric Assn Inc,CO,Final,"1,527",644,74,0,"2,245",0,0,0,0,0,21,28,3,0,52,"1,548",672,77,0,"2,297",0,0,0,0,0
2016,1,15257,"Poudre Valley Associated Services, Inc.",CO,Final,2,0,12,0,14,"33,665","4,012",208,0,"37,885",176,5,1,0,182,"33,843","4,017",221,0,"38,081","46,490","22,973","4,575",0,"74,037"
2016,1,15466,Public Service Co of Colorado,CO,Final,"1,054,022","90,771","2,682",0,"1,147,475","13,916","1,748",60,0,"15,724","124,052","65,525","2,155",0,"191,732","1,191,990","158,044","4,897",0,"1,354,931","9,642","13,177",415,0,"23,234"
2016,1,16603,"San Luis Valley R E C, Inc",CO,Final,"2,040",179,1,0,"2,220","5,154",943,"2,144",0,"8,241","1,041",186,462,0,"1,689","8,235","1,308","2,607",0,"12,150","5,454","3,183",494,0,"9,132"
2016,1,19499,"United Power, Inc",CO,Final,119,6,0,0,125,"28,509","4,462",485,0,"33,456","38,000","4,989",212,0,"43,201","66,628","9,457",697,0,"76,782","33,781","34,921","54,184",0,"122,886"
2016,1,27058,"High West Energy, Inc",CO,Final,628,19,333,.,980,.,.,.,.,0,.,.,.,.,0,628,19,333,.,980,.,.,.,.,0
2016,1,56146,Black Hills/Colorado Elec.Util,CO,Final,.,.,.,.,0,"82,365","11,766",60,.,"94,191",.,.,.,.,0,"82,365","11,766",60,.,"94,191","58,387","69,657","37,882",.,"165,926"
2016,1,4176,Connecticut Light & Power Co,CT,Final,"1,142,841","110,636","3,772",2,"1,257,251",0,0,0,0,0,0,0,0,0,0,"1,142,841","110,636","3,772",2,"1,257,251",0,0,0,0,0
2016,1,7716,Groton Dept of Utilities - (CT),CT,Final,"12,441",645,0,0,"13,086",.,.,.,.,0,327,546,14,0,887,"12,768","1,191",14,0,"13,973",.,.,.,.,0
2016,1,19497,United Illuminating Co,CT,Final,"127,182","28,305","1,062",1,"156,550","181,289","4,590",40,0,"185,919",.,.,.,0,0,"308,471","32,895","1,102",1,"342,469","121,356","67,102","14,742",0,"203,201"
2016,1,20038,Town of Wallingford - (CT),CT,Final,"7,296",425,0,0,"7,721",0,0,0,0,0,"13,888","3,044",25,0,"16,957","21,184","3,469",25,0,"24,678",0,0,0,0,0
2016,1,15270,Potomac Electric Power Co,DC,Final,935,"1,165",3,.,"2,103","252,040","25,958",.,.,"277,998",.,.,.,.,0,"252,975","27,123",3,.,"280,101","167,536","192,999",.,.,"360,535"
2016,1,5027,Delmarva Power,DE,Final,69,0,0,0,69,"262,535","31,003",125,0,"293,663",.,.,.,.,0,"262,604","31,003",125,0,"293,732","177,341","105,701","1,043",0,"284,084"
2016,1,5070,Delaware Electric Cooperative,DE,Final,"79,939","6,545",.,.,"86,484",.,.,.,.,0,568,"2,351",.,.,"2,919","80,507","8,896",.,.,"89,403",.,.,.,.,0
2016,1,5335,City of Dover - (DE),DE,Final,"19,973","3,313",42,0,"23,328",.,.,.,.,0,.,.,.,.,0,"19,973","3,313",42,0,"23,328",.,.,.,.,0
2016,1,13519,City of Newark - (DE),DE,Final,.,.,.,.,0,"11,232","1,450",55,.,"12,737",.,.,.,.,0,"11,232","1,450",55,.,"12,737","5,806","5,357","17,765",.,"28,928"
2016,1,6452,Florida Power & Light Co,FL,Final,654,31,1,.,686,"4,312,663","560,215","11,234",.,"4,884,112","26,328","17,131",426,27,"43,912","4,339,645","577,377","11,661",27,"4,928,710","4,400,339","3,066,150","66,841",.,"7,533,330"
2016,1,6455,"Duke Energy Florida, LLC",FL,Final,"1,531,734","101,955",373,0,"1,634,062","1,027","72,965","1,590",0,"75,582","3,058","10,746",221,0,"14,025","1,535,819","185,666","2,184",0,"1,723,669","2,155","794,071","43,545",0,"839,771"
2016,1,6457,Florida Public Utilities Co,FL,Final,"8,278","1,083",.,.,"9,361",.,.,.,.,0,"15,752","3,313",2,.,"19,067","24,030","4,396",2,.,"28,428",.,.,.,.,0
2016,1,7801,Gulf Power Co,FL,Final,0,0,0,0,0,"391,710","47,691",241,0,"439,642",108,0,0,0,108,"391,818","47,691",241,0,"439,750","467,916","276,437","133,565",0,"877,918"
2016,1,9617,JEA,FL,Final,"274,383","53,658",202,1,"328,244","130,658",0,0,0,"130,658",364,341,0,0,705,"405,405","53,999",202,1,"459,607","137,918",0,0,0,"137,918"
2016,1,18454,Tampa Electric Co,FL,Final,"638,728","26,043",270,0,"665,041",.,.,.,.,0,"2,219","56,106","1,347",0,"59,672","640,947","82,149","1,617",0,"724,713",.,.,.,.,0
2016,1,3408,City of Chattanooga - (TN),GA,Final,0,0,0,0,0,"9,367","1,100",0,0,"10,467",0,0,0,0,0,"9,367","1,100",0,0,"10,467","14,874","3,567",0,0,"18,441"
2016,1,3916,Cobb Electric Membership Corp,GA,Final,.,.,.,.,0,"176,308","17,771",96,.,"194,175","3,636","3,613",0,.,"7,249","179,944","21,384",96,.,"201,424","192,952","92,690","15,111",.,"300,753"
2016,1,7140,Georgia Power Co,GA,Final,.,.,.,.,0,"2,123,603","269,042","8,811",1,"2,401,457",.,.,.,.,0,"2,123,603","269,042","8,811",1,"2,401,457","2,371,526","2,591,860","1,902,256","14,541","6,880,182"
2016,1,9601,Jackson Electric Member Corp - (GA),GA,Final,.,.,.,.,0,"198,310","16,265",172,0,"214,747",35,13,9,0,57,"198,345","16,278",181,0,"214,804","252,638","106,393","46,911",0,"405,942"
2016,1,8287,Hawaii Electric Light Co Inc,HI,Final,"12,303","2,094",.,0,"14,397",.,.,.,.,0,"58,696","10,450",92,0,"69,238","70,999","12,544",92,0,"83,635",.,.,.,.,0
2016,1,10071,Kauai Island Utility Cooperative,HI,Final,"1,171",91,0,.,"1,262","26,192","4,296",111,.,"30,599","1,109",146,8,.,"1,263","28,472","4,533",119,.,"33,124","12,426","8,358","11,923",.,"32,706"
2016,1,11843,Maui Electric Co Ltd,HI,Final,"6,308",605,.,.,"6,913",.,1,29,.,30,"53,968","9,322",131,.,"63,421","60,276","9,928",160,.,"70,364",.,1,"11,279",.,"11,280"
2016,1,19547,Hawaiian Electric Co Inc,HI,Final,"14,079",923,.,.,"15,002",.,.,.,.,0,"255,862","31,982",477,.,"288,321","269,941","32,905",477,.,"303,323",.,.,.,.,0
2016,1,471,Amana Society Service Co,IA,Final,704,180,1,0,885,.,.,.,.,0,.,.,.,.,0,704,180,1,0,885,.,.,.,.,0
2016,1,9417,Interstate Power and Light Co,IA,Final,"4,932",697,112,.,"5,741",.,.,.,.,0,"433,916","90,437","2,167",.,"526,520","438,848","91,134","2,279",.,"532,261",.,.,.,.,0
2016,1,12341,MidAmerican Energy Co,IA,Final,"571,337","90,705",646,0,"662,688",.,.,.,.,0,192,953,"1,276",0,"2,421","571,529","91,658","1,922",0,"665,109",.,.,.,.,0
2016,1,9187,City of Idaho Falls - (ID),ID,Final,0,0,0,.,0,"22,997","4,192",7,.,"27,196",14,0,0,.,14,"23,011","4,192",7,.,"27,210","38,922","29,811","8,527",.,"77,260"
2016,1,9191,Idaho Power Co,ID,Final,885,114,1,.,"1,000","421,420","64,213","17,597",.,"503,230",921,646,858,.,"2,425","423,226","64,973","18,456",.,"506,655","533,623","326,576","251,920",.,"1,112,119"
2016,1,10454,Kootenai Electric Cooperative,ID,Final,.,.,.,.,0,"22,893","2,189",47,0,"25,129",.,.,.,.,0,"22,893","2,189",47,0,"25,129","33,433","8,759","2,095",0,"44,287"
2016,1,11273,Lower Valley Energy Inc,ID,Final,.,.,.,.,0,"1,293",348,39,0,"1,680",.,.,.,.,0,"1,293",348,39,0,"1,680","2,055",364,"5,308",0,"7,727"
2016,1,12692,"Missoula Electric Coop, Inc",ID,Final,37,21,0,0,58,0,0,0,0,0,0,0,0,0,0,37,21,0,0,58,0,0,0,0,0
2016,1,14354,PacifiCorp,ID,Final,"25,144","3,061","1,492",0,"29,697",.,.,.,.,0,"36,520","6,137","4,129",0,"46,786","61,664","9,198","5,621",0,"76,483",.,.,.,.,0
2016,1,16565,Salmon River Electric Coop Inc,ID,Final,0,0,0,.,0,"2,162",451,2,.,"2,615",.,.,.,.,0,"2,162",451,2,.,"2,615","4,458","2,471","3,172",.,"10,101"
2016,1,20169,Avista Corp,ID,Final,"110,498","17,321",451,.,"128,270",.,.,.,.,0,0,0,0,.,0,"110,498","17,321",451,.,"128,270",.,.,.,.,0
2016,1,22814,Raft Rural Elec Coop Inc,ID,Final,.,.,.,.,0,"1,302",320,927,0,"2,549",.,1,.,.,1,"1,302",321,927,0,"2,550","2,978","2,610",74,0,"5,662"
2016,1,4110,Commonwealth Edison Co,IL,Final,476,"3,512","1,547",150,"5,685","1,778,898","162,733","5,298",4,"1,946,933","1,995,070","305,075",0,0,"2,300,145","3,774,444","471,320","6,845",154,"4,252,763","791,077","846,815","547,235","2,254","2,187,382"
2016,1,12341,MidAmerican Energy Co,IL,Final,"74,285","10,286",0,0,"84,571",.,.,.,.,0,14,257,92,0,363,"74,299","10,543",92,0,"84,934",.,.,.,.,0
2016,1,13032,Mt Carmel Public Utility Co,IL,Final,0,0,0,0,0,0,0,0,0,0,"4,933",890,105,0,"5,928","4,933",890,105,0,"5,928",0,0,0,0,0
2016,1,56697,Ameren Illinois Company,IL,Final,"589,820","74,445",507,73,"664,845","235,142","40,882",265,0,"276,289","249,745","47,044",415,0,"297,204","1,074,707","162,371","1,187",73,"1,238,338","249,652","272,982","224,251",0,"746,885"
2016,1,261,AGC Division of APG Inc,IN,Final,.,.,5,.,5,.,.,.,.,0,.,.,.,.,0,.,.,5,.,5,.,.,.,.,0
2016,1,9273,Indianapolis Power & Light Co,IN,Final,"431,595","50,691",5,.,"482,291","26,376","3,705","5,973",.,"36,054",.,85,.,.,85,"457,971","54,481","5,978",.,"518,430","31,297","33,573","465,506",.,"530,376"
2016,1,9324,Indiana Michigan Power Co,IN,Final,"397,162","51,729","3,960",0,"452,851","8,784","1,097",48,0,"9,929",2,14,5,0,21,"405,948","52,840","4,013",0,"462,801","7,083","8,212","1,288",0,"16,583"
2016,1,13756,Northern Indiana Pub Serv Co,IN,Final,"13,473",.,.,.,"13,473",.,.,.,.,0,.,.,.,.,0,"13,473",.,.,.,"13,473",.,.,.,.,0
2016,1,15470,"Duke Energy Indiana, LLC",IN,Final,"719,839","103,569","2,524",.,"825,932",14,"2,345","1,057",.,"3,416",.,0,0,.,0,"719,853","105,914","3,581",.,"829,348",20,"15,393","241,644",.,"257,057"
2016,1,17633,Southern Indiana Gas & Elec Co,IN,Final,0,0,0,.,0,0,0,0,.,0,"129,655","18,576",119,.,"148,350","129,655","18,576",119,.,"148,350",0,0,0,.,0
2016,1,9996,City of Kansas City - (KS),KS,Final,3,.,.,.,3,"56,489","6,648",109,.,"63,246","1,191",.,.,.,"1,191","57,683","6,648",109,.,"64,440","49,291","84,866","47,248",.,"181,405"
